student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
It is not connected.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,connected is it not,connected,connected,connect,connect,connected,connected
More power goes to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,goes more motor power the to,power goes motor,goes motor power,power goe motor,goe motor power,power go motor,go motor power
The wires are not connecting to the bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are bulb connecting not the the to wires,wires connecting bulb,bulb connecting wires,wire connect bulb,bulb connect wire,wire connecting bulb,bulb connecting wire
The bulb will not light because the positive and negative wires are hooked on the same hook.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,and are because bulb hook hooked light negative not on positive same the the the will wires,bulb light positive negative wires hooked hook,bulb hook hooked light negative positive wires,bulb light posit neg wire hook hook,bulb hook hook light neg posit wire,bulb light positive negative wire hooked hook,bulb hook hooked light negative positive wire
It does not work because the wire are not propel on the spring thing.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are because does it not not on propel spring the the thing wire work,work wire propel spring thing,propel spring thing wire work,work wire propel spring thing,propel spring thing wire work,work wire propel spring thing,propel spring thing wire work
Yes even though it is not a complete circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,a circuit complete even is it not though yes,yes complete circuit,circuit complete yes,ye complet circuit,circuit complet ye,yes complete circuit,circuit complete yes
No because both wires are on both place.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are because both both no on place wires,wires place,place wires,wire place,place wire,wire place,place wire
Some of the wires are disconnect.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,are disconnect of some the wires,wires disconnect,disconnect wires,wire disconnect,disconnect wire,wire disconnect,disconnect wire
It will not light because the bulbs wires are not connected to both sockets.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,are because both bulbs connected it light not not sockets the to will wires,light bulbs wires connected sockets,bulbs connected light sockets wires,light bulb wire connect socket,bulb connect light socket wire,light bulb wire connected socket,bulb connected light socket wire
Because the motor got all the power.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,all because got motor power the the,motor got power,got motor power,motor got power,got motor power,motor got power,got motor power
Because one side is hooked to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,because hooked is motor one side the to,hooked motor,hooked motor,hook motor,hook motor,hooked motor,hooked motor
The bulb will not work because the negative and the positive cannot go in the same way.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,and because bulb cannot go in negative not positive same the the the the way will work,bulb work negative positive way,bulb negative positive way work,bulb work neg posit way,bulb neg posit way work,bulb work negative positive way,bulb negative positive way work
"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.","The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,both bulb bulb can circuit contact does electricity go holder include not not on points so the the the the through,circuit include contact points bulb holder electricity bulb,bulb bulb circuit contact electricity holder include points,circuit includ contact point bulb holder electr bulb,bulb bulb circuit contact electr holder includ point,circuit include contact point bulb holder electricity bulb,bulb bulb circuit contact electricity holder include point
