student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
Something that can absorb heat.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,absorb can heat something that,absorb heat,absorb heat,absorb heat,absorb heat,absorb heat,absorb heat
A substance that can take in and give off heat.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a and can give heat in off substance take that,substance heat,heat substance,substanc heat,heat substanc,substance heat,heat substance
A heat sink is something that absorbs heat and gives it off slowly.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a absorbs and gives heat heat is it off sink slowly something that,heat sink absorbs heat gives slowly,absorbs gives heat heat sink slowly,heat sink absorb heat give slowli,absorb give heat heat sink slowli,heat sink absorbs heat give slowly,absorbs give heat heat sink slowly
A heat sink is a material that heats up slowly and cools down slowly.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a a and cools down heat heats is material sink slowly slowly that up,heat sink material heats slowly cools slowly,cools heat heats material sink slowly slowly,heat sink materi heat slowli cool slowli,cool heat heat materi sink slowli slowli,heat sink material heat slowly cool slowly,cool heat heat material sink slowly slowly
A heat sink is when a material heats up slowly but stays warmer longer when cooling off.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a a but cooling heat heats is longer material off sink slowly stays up warmer when when,heat sink material heats slowly stays warmer longer cooling,cooling heat heats longer material sink slowly stays warmer,heat sink materi heat slowli stay warmer longer cool,cool heat heat longer materi sink slowli stay warmer,heat sink material heat slowly stay warmer longer cooling,cooling heat heat longer material sink slowly stay warmer
A heat sink is a heat that is wet.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a a heat heat is is sink that wet,heat sink heat wet,heat heat sink wet,heat sink heat wet,heat heat sink wet,heat sink heat wet,heat heat sink wet
A material that slows down another.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a another down material slows that,material slows,material slows,materi slow,materi slow,material slows,material slows
A heat sink is something takes long to cool down and get hot.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a and cool down get heat hot is long sink something takes to,heat sink takes long cool hot,cool heat hot long sink takes,heat sink take long cool hot,cool heat hot long sink take,heat sink take long cool hot,cool heat hot long sink take
A heat sink is something that takes water to absorb.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a absorb heat is sink something takes that to water,heat sink takes water absorb,absorb heat sink takes water,heat sink take water absorb,absorb heat sink take water,heat sink take water absorb,absorb heat sink take water
A heat sink is not a thing like water.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a a heat is like not sink thing water,heat sink thing like water,heat like sink thing water,heat sink thing like water,heat like sink thing water,heat sink thing like water,heat like sink thing water
A heat sink is water because it absorb the slowly and it lets go slowly.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a absorb and because go heat is it it lets sink slowly slowly the water,heat sink water absorb slowly lets slowly,absorb heat lets sink slowly slowly water,heat sink water absorb slowli let slowli,absorb heat let sink slowli slowli water,heat sink water absorb slowly let slowly,absorb heat let sink slowly slowly water
A heat sink is any material that absorbs (a lot of) heat.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a a absorbs any heat heat is lot material of sink that,heat sink material absorbs lot heat,absorbs heat heat lot material sink,heat sink materi absorb lot heat,absorb heat heat lot materi sink,heat sink material absorbs lot heat,absorbs heat heat lot material sink
