wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_string,q_stemmed_has_insul,q_stemmed_has_pathway,q_stemmed_has_complet,q_stemmed_has_string_insul,q_stemmed_has_insul_pathway,q_stemmed_has_pathway_complet,q_stemmed_has_string_insul_pathway,q_stemmed_has_insul_pathway_complet,q_stem_ordered_has_complet,q_stem_ordered_has_insul,q_stem_ordered_has_pathway,q_stem_ordered_has_string,q_stem_ordered_has_complet_insul,q_stem_ordered_has_insul_pathway,q_stem_ordered_has_pathway_string,q_stem_ordered_has_complet_insul_pathway,q_stem_ordered_has_insul_pathway_string
0.14285714285714285,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5714285714285714,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42857142857142855,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2857142857142857,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8571428571428572,0.7,0.1,0.189,0.7,0.1,0.189,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.14285714285714285,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.7272727272727273,0.09090909090909091,0.1768,0.7272727272727273,0.09090909090909091,0.1768,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
