student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
It will stick to iron and not aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,stick iron aluminum,stick iron aluminum,aluminum iron stick
You can try it out altogether.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,try altogether,tri altogeth,altogeth tri
I will put it on a nail.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,nail,nail,nail
You will know because it will stick to a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,know stick magnet,know stick magnet,know magnet stick
Because if it sticked it was iron if it did not it is aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,sticked iron aluminum,stick iron aluminum,aluminum iron stick
If it sticks then it is a magnet if it does not then it is not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,sticks magnet,stick magnet,magnet stick
You can get a key and a iron nail and aluminum foil and see if it sticks.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,key iron nail aluminum foil sticks,key iron nail aluminum foil stick,aluminum foil iron key nail stick
"If it repels aluminum if it sticks iron, attract.","If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,repels aluminum sticks iron attract,repel aluminum stick iron attract,aluminum attract iron repel stick
I will know when it sticks or it repels.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,know sticks repels,know stick repel,know repel stick
It will fall off the magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,fall magnet,fall magnet,fall magnet
"If the key sticks, the key is iron; if the key does not stick the key is aluminum.","If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,key sticks key iron key stick key aluminum,key stick key iron key stick key aluminum,aluminum iron key key key key stick stick
