student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
A. Because more heat would go into the small box than the long big box.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,heat small box long big box,heat small box long big box,big box box heat long small
A. I think Julie is A because when first temperature. I did her first so I think she is A.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,think julie temperature think,think juli temperatur think,juli temperatur think think
B. Because Julie's has bigger numbers in the chart and letter B looks bigger but with the same amount of everything.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,b julies bigger numbers chart letter b looks bigger,b juli bigger number chart letter b look bigger,b b bigger bigger chart juli letter look number
A. A because black is shown more on the bottom and so the black absorbed the heat.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,black shown black absorbed heat,black shown black absorb heat,absorb black black heat shown
B. Because his temperature is more taller than David because they are different by how they are.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,b temperature taller david different,b temperatur taller david differ,b david differ taller temperatur
B. Because B is more taller and it has a smaller top and it is not that extended like A. A is a transfer rate of heat. B preserves more solar energy.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,b b taller smaller extended like transfer rate heat b preserves solar energy,b b taller smaller extend like transfer rate heat b preserv solar energi,b b b energi extend heat like preserv rate smaller solar taller transfer
A. Water can heat up faster in a wide tank because the water is not deep. Julie has the hottest degree Celsius.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,water heat faster wide tank water deep julie hottest degree celsius,water heat faster wide tank water deep juli hottest degre celsiu,celsiu deep degre faster heat hottest juli tank water water wide
A. Box A is laid horizontally. The sun is hitting mostly the top. Box A has a bigger top than box B. Thus making box A hotter.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,box laid horizontally sun hitting box bigger box b making box hotter,box laid horizont sun hit box bigger box b make box hotter,b bigger box box box box hit horizont hotter laid make sun
A. A is set flat down on the ground spreading the water around and it has a larger black space which will absorb more heat heating the water faster.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,set flat ground spreading water larger black space absorb heat heating water faster,set flat ground spread water larger black space absorb heat heat water faster,absorb black faster flat ground heat heat larger set space spread water water
A. I choose A because it heated up faster and was spread out so it heated up faster.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,choose heated faster spread heated faster,choos heat faster spread heat faster,choos faster faster heat heat spread
A. Since more of hers were on the ground on something dark it would absorb more heat because dark colors absorb more heat.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,ground dark absorb heat dark colors absorb heat,ground dark absorb heat dark color absorb heat,absorb absorb color dark dark ground heat heat
"A. The evidence that supports my answer is A box because with a long section colored black, the solar heater would absorb more heat and the temperature under Julie's name because the temperature is hotter than David's.",A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,evidence supports answer box long section colored black solar heater absorb heat temperature julies temperature hotter davids,evid support answer box long section color black solar heater absorb heat temperatur juli temperatur hotter david,absorb answer black box color david evid heat heater hotter juli long section solar support temperatur temperatur
A. Because her box got the highest temperature. And it had more room to heat it up.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,box got highest temperature room heat,box got highest temperatur room heat,box got heat highest room temperatur
A. The evidence that supports my answer is that box A had more black in it and the sun would absorb box A more.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,evidence supports answer box black sun absorb box,evid support answer box black sun absorb box,absorb answer black box box evid sun support
A. I picked A because the inside had more black space.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,picked inside black space,pick insid black space,black insid pick space
A. Because there is more black tarp and under Julie it has higher temperatures. And more black heats up faster so Julie's is A.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,black tarp julie higher temperatures black heats faster julies,black tarp juli higher temperatur black heat faster juli,black black faster heat higher juli juli tarp temperatur
"A. Because the solar energy meets the collector sooner because it is shorter, so it heats up quicker.",A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,solar energy meets collector sooner shorter heats quicker,solar energi meet collector sooner shorter heat quicker,collector energi heat meet quicker shorter solar sooner
A. Julie's temperature went higher than David because she has more square units of solar collectors.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,julies temperature went higher david square units solar collectors,juli temperatur went higher david squar unit solar collector,collector david higher juli solar squar temperatur unit went
A. Well the more area black covers the hotter it will get. Just like in the table. Since A covers more I thought that A would be a perfect match with the table.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,area black covers hotter like table covers thought perfect match table,area black cover hotter like tabl cover thought perfect match tabl,area black cover cover hotter like match perfect tabl tabl thought
"A. Because the more black tarp you have, the hotter it is going to get.",A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,black tarp hotter going,black tarp hotter go,black go hotter tarp
A. Because the bigger box heats up fast and Julie's temperatures were high.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,bigger box heats fast julies temperatures high,bigger box heat fast juli temperatur high,bigger box fast heat high juli temperatur
A. Because she had higher temperatures than David.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,higher temperatures david,higher temperatur david,david higher temperatur
"A. The evidence that supports my answer is the chart or table. I looked at both the temperatures and solar water heaters and I decide, using the chart or table, that A is Julie's.",A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,evidence supports answer chart table looked temperatures solar water heaters decide chart table julies,evid support answer chart tabl look temperatur solar water heater decid chart tabl juli,answer chart chart decid evid heater juli look solar support tabl tabl temperatur water
A. Julie made box A because her temperatures were high. Box A has more black than box B. So box A will absorb more heat since it has more black.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,julie box temperatures high box black box b box absorb heat black,juli box temperatur high box black box b box absorb heat black,absorb b black black box box box box heat high juli temperatur
A. It is box A because the box has more black than the other box and it absorbs the sun is heat.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,box box black box absorbs sun heat,box box black box absorb sun heat,absorb black box box box heat sun
A. A because it has more black painted than in box B so A absorbs more than B.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,black painted box b absorbs b,black paint box b absorb b,absorb b b black box paint
A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,water julies heater got hotter faster greater temperature change 20 minutes collector heater greater surface area water hotter faster water b,water juli heater got hotter faster greater temperatur chang 20 minut collector heater greater surfac area water hotter faster water b,20 area b chang collector faster faster got greater greater heater heater hotter hotter juli minut surfac temperatur water water water
